file,id
sh331,1994
sh332,1995
sh333,1996
sh334,1997
sh335,1998
sh336,1999
sh337,2000
sh338,2001
sh339,2002
sh340,2003
sh341,2004
sh342,2005
sh343,2006
sh344,2007
sh345,2008
sh346,2009
sh347,2010
sh348,2011
sh349,2012
sh350,2013
sh351,2014
sh352,2015
sh353,2016
sh354,2017
sh355,2018
sh356,2019
sh357,2020
sh358,2021
sh359,2022
sh360,2023
sh361,2024
sh362,2025
sh363,2026
sh364,2027
sh365,2028
sh366,2029
sh367,2030
sh368,2031
sh369,2032
sh370,2033
sh371,2034
sh372,2035
sh373,2036
sh374,2037
sh375,2038
sh376,2039
sh377,2040
sh378,2041
sh379,2042
sh380,2043
sh381,2044
sh382,2045
sh383,2046
sh384,2047
sh385,2048
sh386,2049
sh387,2050
sh388,2051
sh389,2052
sh390,2053
sh391,2054
sh392,2055
sh393,2056
sh394,2057
sh395,2058
sh396,2059
sh397,2060
sh398,2061
sh399,2062
sh400,2063
sh401,2064
sh402,2065
sh403,2066
sh404,2067
sh405,2068
sh406,2069
sh407,2070
sh408,2071
sh409,2072
sh410,2073
sh411,2074
sh412,2075
sh413,2076
sh414,2077
sh415,2078
sh416,2079
sh417,2080
sh418,2081
sh419,2082
sh420,2083
sh421,2084
sh422,2085
sh423,2086
sh424,2087
sh425,2088
sh426,2089
sh427,2090
sh428,2091
sh429,2092
sh430,2093
sh431,2094
sh432,2095
sh433,2096
sh434,2097
sh435,2098
sh436,2099
sh437,2100
sh438,2101
sh439,2102
sh440,2103
sh441,2104
sh442,2105
sh443,2106
sh444,2107
sh445,2108
sh446,2109
sh447,2110
sh448,2111
sh449,2112
sh450,2113
sh451,2114
sh452,2115
sh453,2116
sh454,2117
sh455,2118
sh456,2119
sh457,2120
sh458,2121
sh459,2122
sh460,2123
sh461,2124
sh462,2125
sh463,2126
sh464,2127
sh465,2128
sh466,2129
sh467,2130
sh468,2131
sh469,2132
sh470,2133
sh471,2134
sh472,2135
sh473,2136
sh474,2137
sh475,2138
sh476,2139
sh477,2140
sh478,2141
sh479,2142
sh480,2143
sh481,2144
sh482,2145
sh483,2146
sh484,2147
sh485,2148
sh486,2149
sh487,2150
sh488,2151
sh489,2152
sh490,2153
sh491,2154
sh492,2155
sh493,2156
sh494,2157
sh495,2158
